Ente;Tipo;Provincia;ASL;Codice ISTAT;Abitanti;Positivi;Positivi 1000 abitanti;Delta positivi;Delta positivi 1000 abitanti;Data
Busca;COM;CN;CN1;004034;10174;7;0.69;0;0.0;2020/03/25
Busca;COM;CN;CN1;004034;10174;8;0.79;1;0.1;2020/03/26
Busca;COM;CN;CN1;004034;10174;10;0.98;2;0.19;2020/03/27
Busca;COM;CN;CN1;004034;10174;10;0.98;0;0.0;2020/03/28
Busca;COM;CN;CN1;004034;10174;10;0.98;0;0.0;2020/03/29
Busca;COM;CN;CN1;004034;10174;10;0.98;0;0.0;2020/03/30
Busca;COM;CN;CN1;004034;10174;10;0.98;0;0.0;2020/03/31
Busca;COM;CN;CN1;004034;10174;10;0.98;0;0.0;2020/04/01
Busca;COM;CN;CN1;004034;10174;11;1.08;1;0.1;2020/04/02
Busca;COM;CN;CN1;004034;10174;12;1.18;1;0.1;2020/04/03
Busca;COM;CN;CN1;004034;10174;14;1.38;2;0.2;2020/04/04
Busca;COM;CN;CN1;004034;10174;14;1.38;0;0.0;2020/04/05
Busca;COM;CN;CN1;004034;10174;14;1.38;0;0.0;2020/04/06
Busca;COM;CN;CN1;004034;10174;14;1.38;0;0.0;2020/04/07
Busca;COM;CN;CN1;004034;10174;14;1.38;0;0.0;2020/04/08
Busca;COM;CN;CN1;004034;10174;15;1.47;1;0.09;2020/04/09
Busca;COM;CN;CN1;004034;10174;12;1.18;-3;-0.29;2020/04/12
Busca;COM;CN;CN1;004034;10174;10;0.98;-2;-0.2;2020/04/13
Busca;COM;CN;CN1;004034;10174;9;0.88;-1;-0.1;2020/04/14
Busca;COM;CN;CN1;004034;10174;10;0.98;1;0.1;2020/04/15
Busca;COM;CN;CN1;004034;10174;11;1.08;1;0.1;2020/04/16
Busca;COM;CN;CN1;004034;10174;14;1.38;3;0.3;2020/04/17
Busca;COM;CN;CN1;004034;10174;13;1.28;-1;-0.1;2020/04/18
Busca;COM;CN;CN1;004034;10174;15;1.47;2;0.19;2020/04/19
Busca;COM;CN;CN1;004034;10174;14;1.38;-1;-0.09;2020/04/20
